"Title:","All Employees from the Current Employment Statistics Database"
"SubTitle:","USA - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","01/1939 - 10/2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Labor Statistics (2022-11-10). Current Employment Statistics: All Employees | Construction | Information | N/A Construction | 236 Construction of buildings | 237 Heavy and civil engineering construction | 2373 Highway, street, and bridge construction | 511 Publishing industries, except Internet | 5112 Software publishers | 512 Motion picture and sound recording industries | 515 Broadcasting, except Internet | 518 Data processing, hosting and related services | Non-Seasonally Adjusted, 01/1939 - 10/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-021-001 doi:https://doi.org/10.6068/DP184A0C1638753"
"ColumnCount:",10
"RowCount:",1006

"Time","Construction, N/A Construction, Non-Seasonally Adjusted, (000)","Construction, 236 Construction of buildings, Non-Seasonally Adjusted, (000)","Construction, 237 Heavy and civil engineering construction, Non-Seasonally Adjusted, (000)","Construction, 2373 Highway, street, and bridge construction, Non-Seasonally Adjusted, (000)","Information, 511 Publishing industries, except Internet, Non-Seasonally Adjusted, (000)","Information, 5112 Software publishers, Non-Seasonally Adjusted, (000)","Information, 512 Motion picture and sound recording industries, Non-Seasonally Adjusted, (000)","Information, 515 Broadcasting, except Internet, Non-Seasonally Adjusted, (000)","Information, 518 Data processing, hosting and related services, Non-Seasonally Adjusted, (000)"
"01/1939",981000,,,,,,,,
"02/1939",970000,,,,,,,,
"03/1939",1091000,,,,,,,,
"04/1939",1181000,,,,,,,,
"05/1939",1286000,,,,,,,,
"06/1939",1328000,,,,,,,,
"07/1939",1341000,,,,,,,,
"08/1939",1368000,,,,,,,,
"09/1939",1342000,,,,,,,,
"10/1939",1291000,,,,,,,,
"11/1939",1218000,,,,,,,,
"12/1939",1066000,,,,,,,,
"01/1940",961000,,,,,,,,
"02/1940",986000,,,,,,,,
"03/1940",1072000,,,,,,,,
"04/1940",1203000,,,,,,,,
"05/1940",1319000,,,,,,,,
"06/1940",1358000,,,,,,,,
"07/1940",1401000,,,,,,,,
"08/1940",1430000,,,,,,,,
"09/1940",1529000,,,,,,,,
"10/1940",1610000,,,,,,,,
"11/1940",1667000,,,,,,,,
"12/1940",1689000,,,,,,,,
"01/1941",1666000,,,,,,,,
"02/1941",1627000,,,,,,,,
"03/1941",1592000,,,,,,,,
"04/1941",1698000,,,,,,,,
"05/1941",1800000,,,,,,,,
"06/1941",1866000,,,,,,,,
"07/1941",2020000,,,,,,,,
"08/1941",2079000,,,,,,,,
"09/1941",2100000,,,,,,,,
"10/1941",2033000,,,,,,,,
"11/1941",1943000,,,,,,,,
"12/1941",1797000,,,,,,,,
"01/1942",1738000,,,,,,,,
"02/1942",1712000,,,,,,,,
"03/1942",1897000,,,,,,,,
"04/1942",2104000,,,,,,,,
"05/1942",2287000,,,,,,,,
"06/1942",2469000,,,,,,,,
"07/1942",2631000,,,,,,,,
"08/1942",2643000,,,,,,,,
"09/1942",2596000,,,,,,,,
"10/1942",2435000,,,,,,,,
"11/1942",2275000,,,,,,,,
"12/1942",2019000,,,,,,,,
"01/1943",1896000,,,,,,,,
"02/1943",1842000,,,,,,,,
"03/1943",1825000,,,,,,,,
"04/1943",1802000,,,,,,,,
"05/1943",1755000,,,,,,,,
"06/1943",1730000,,,,,,,,
"07/1943",1641000,,,,,,,,
"08/1943",1584000,,,,,,,,
"09/1943",1511000,,,,,,,,
"10/1943",1402000,,,,,,,,
"11/1943",1331000,,,,,,,,
"12/1943",1205000,,,,,,,,
"01/1944",1172000,,,,,,,,
"02/1944",1126000,,,,,,,,
"03/1944",1119000,,,,,,,,
"04/1944",1133000,,,,,,,,
"05/1944",1167000,,,,,,,,
"06/1944",1206000,,,,,,,,
"07/1944",1211000,,,,,,,,
"08/1944",1215000,,,,,,,,
"09/1944",1183000,,,,,,,,
"10/1944",1150000,,,,,,,,
"11/1944",1114000,,,,,,,,
"12/1944",1025000,,,,,,,,
"01/1945",1006000,,,,,,,,
"02/1945",1015000,,,,,,,,
"03/1945",1058000,,,,,,,,
"04/1945",1109000,,,,,,,,
"05/1945",1149000,,,,,,,,
"06/1945",1204000,,,,,,,,
"07/1945",1245000,,,,,,,,
"08/1945",1290000,,,,,,,,
"09/1945",1290000,,,,,,,,
"10/1945",1309000,,,,,,,,
"11/1945",1325000,,,,,,,,
"12/1945",1274000,,,,,,,,
"01/1946",1280000,,,,,,,,
"02/1946",1312000,,,,,,,,
"03/1946",1437000,,,,,,,,
"04/1946",1583000,,,,,,,,
"05/1946",1679000,,,,,,,,
"06/1946",1766000,,,,,,,,
"07/1946",1868000,,,,,,,,
"08/1946",1954000,,,,,,,,
"09/1946",1990000,,,,,,,,
"10/1946",1976000,,,,,,,,
"11/1946",1954000,,,,,,,,
"12/1946",1892000,,,,,,,,
"01/1947",1769000,,,,,,,,
"02/1947",1747000,,,,,,,,
"03/1947",1794000,,,,,,,,
"04/1947",1908000,,,,,,,,
"05/1947",2004000,,,,,,,,
"06/1947",2154000,,,,,,,,
"07/1947",2199000,,,,,,,,
"08/1947",2264000,,,,,,,,
"09/1947",2263000,,,,,,,,
"10/1947",2236000,,,,,,,,
"11/1947",2172000,,,,,,,,
"12/1947",2101000,,,,,,,,
"01/1948",2000000,,,,,,,,
"02/1948",1862000,,,,,,,,
"03/1948",1949000,,,,,,,,
"04/1948",2090000,,,,,,,,
"05/1948",2230000,,,,,,,,
"06/1948",2366000,,,,,,,,
"07/1948",2426000,,,,,,,,
"08/1948",2463000,,,,,,,,
"09/1948",2449000,,,,,,,,
"10/1948",2413000,,,,,,,,
"11/1948",2367000,,,,,,,,
"12/1948",2278000,,,,,,,,
"01/1949",2093000,,,,,,,,
"02/1949",2002000,,,,,,,,
"03/1949",2024000,,,,,,,,
"04/1949",2114000,,,,,,,,
"05/1949",2217000,,,,,,,,
"06/1949",2287000,,,,,,,,
"07/1949",2359000,,,,,,,,
"08/1949",2423000,,,,,,,,
"09/1949",2423000,,,,,,,,
"10/1949",2388000,,,,,,,,
"11/1949",2328000,,,,,,,,
"12/1949",2169000,,,,,,,,
"01/1950",1997000,,,,,,,,
"02/1950",1932000,,,,,,,,
"03/1950",1986000,,,,,,,,
"04/1950",2158000,,,,,,,,
"05/1950",2330000,,,,,,,,
"06/1950",2503000,,,,,,,,
"07/1950",2623000,,,,,,,,
"08/1950",2723000,,,,,,,,
"09/1950",2721000,,,,,,,,
"10/1950",2727000,,,,,,,,
"11/1950",2665000,,,,,,,,
"12/1950",2495000,,,,,,,,
"01/1951",2372000,,,,,,,,
"02/1951",2317000,,,,,,,,
"03/1951",2411000,,,,,,,,
"04/1951",2563000,,,,,,,,
"05/1951",2697000,,,,,,,,
"06/1951",2793000,,,,,,,,
"07/1951",2867000,,,,,,,,
"08/1951",2929000,,,,,,,,
"09/1951",2890000,,,,,,,,
"10/1951",2888000,,,,,,,,
